accuracy,n_estimators,max_depth,max_feature,min_samples_split,min_samples_leaf,n_comp,dim_red,scaler
0.5669217509735907,467,13,5,23,3,19,ica,pt
0.5602183396820667,322,18,5,49,19,4,pca,pt
0.5505939435210998,309,26,18,26,37,5,pca,pt
0.5616773424698346,375,15,16,28,28,7,ica,rb
0.5678010682896725,467,23,3,48,7,16,pca,std
0.5748015577451001,475,15,22,44,11,15,ica,std
0.5587593368942989,235,20,16,32,23,14,ica,norm
0.5433019088761678,313,13,18,49,44,9,ica,norm
0.5348500776744484,141,15,24,48,36,13,pca,norm
0.590839522461748,317,16,10,33,5,20,ica,std
0.5389261773531102,482,4,14,42,21,16,pca,mx
0.5637185844097806,221,11,14,4,26,2,ica,rb
0.5354327424400417,329,12,21,43,46,2,pca,norm
0.5573003341065311,423,7,20,20,23,8,ica,norm
0.5479704624289757,423,20,23,27,45,18,pca,mx
0.55496669575025,489,7,21,47,12,13,pca,rb
0.5532191270668851,419,13,8,46,21,12,pca,norm
0.5500104275286757,145,16,15,22,38,13,ica,rb
0.6045468281160222,250,19,12,16,6,19,pca,pt
0.5564269753782639,96,21,7,14,28,8,pca,std
0.5838424379136431,329,29,7,42,8,12,ica,mx
0.5473886488902131,375,18,8,42,26,3,pca,norm
0.5497201591794173,51,11,27,38,44,20,pca,mx
0.5269711221297695,231,7,30,14,22,9,ica,pt
0.5526364623012917,377,28,13,32,37,13,pca,mx
0.5293047604860506,25,20,26,49,23,19,ica,pt
0.5485544040348151,327,29,3,18,44,3,ica,std
0.5503032495584261,213,14,15,35,42,8,pca,mx
0.5715937094337213,266,13,29,38,23,3,ica,rb
0.542426422080824,115,5,16,41,45,6,ica,rb
0.5672222340448171,465,9,19,48,14,9,ica,norm
0.5456363984592795,336,29,10,26,45,10,ica,norm
0.5412661999106212,113,14,2,18,41,11,pca,mx
0.5575944329765274,435,24,18,24,32,16,ica,rb
0.5785907939818263,324,15,18,33,17,8,ica,mx
0.5468021536038816,292,8,18,40,30,8,pca,rb
0.5844229746121598,391,27,11,42,2,20,ica,rb
